rgiid,period,area,dmdtda,err_dmdtda,reg,is_cor,RGIId,Area,Zmin,Zmax,Zmed,Slope,Aspect,Lmax,CenLon,CenLat,northness,eastness
RGI60-11.00665,2000-01-01_2020-01-01,118000.0,-0.7122,0.3728,11,False,RGI60-11.00665,0.118,2917,3116,2988,21.5,66,562,10.7949,46.9335,0.4067366430758002,0.9135454576426009
RGI60-11.00666,2000-01-01_2020-01-01,9331000.0,-0.9533,0.1514,11,False,RGI60-11.00666,9.331,2440,3512,3048,12.8,26,5999,10.9036,46.9058,0.898794046299167,0.4383711467890774
RGI60-11.00667,2000-01-01_2020-01-01,17000.0,-0.9291,0.8143,11,False,RGI60-11.00667,0.017,2890,2961,2928,26.6,216,190,11.1256,46.9282,-0.8090169943749475,-0.587785252292473
RGI60-11.00668,2000-01-01_2020-01-01,17000.0,-0.5533,0.7134,11,False,RGI60-11.00668,0.017,2863,2959,2907,30.4,29,127,10.8881,46.9304,0.8746197071393957,0.48480962024633706
RGI60-11.00669,2000-01-01_2020-01-01,59000.0,-0.1852,0.2795,11,False,RGI60-11.00669,0.059,3195,3321,3258,23.0,145,285,10.7936,46.9289,-0.8191520442889919,0.5735764363510459
RGI60-11.00670,2000-01-01_2020-01-01,1369000.0,-0.7497,0.1787,11,False,RGI60-11.00670,1.369,2870,3376,3082,16.9,56,1925,10.8648,46.9209,0.5591929034707468,0.8290375725550417
RGI60-11.00671,2000-01-01_2020-01-01,43000.0,0.1542,0.3263,11,False,RGI60-11.00671,0.043,2813,2955,2870,21.8,313,285,10.7839,46.927,0.6819983600624986,-0.7313537016191703
RGI60-11.00672,2000-01-01_2020-01-01,32000.0,-0.9345,0.627,11,False,RGI60-11.00672,0.032,2815,2930,2862,22.3,298,280,12.0824,46.8996,0.4694715627858904,-0.8829475928589271
RGI60-11.00673,2000-01-01_2020-01-01,459000.0,-0.5788,0.1988,11,False,RGI60-11.00673,0.459,2891,3382,3133,23.2,67,1049,10.791,46.9221,0.3907311284892737,0.9205048534524404
RGI60-11.00674,2000-01-01_2020-01-01,945000.0,-0.5129,0.1668,11,False,RGI60-11.00674,0.945,2872,3268,3078,16.0,102,1326,10.9269,46.9185,-0.20791169081775934,0.9781476007338057
RGI60-11.00675,2000-01-01_2020-01-01,15000.0,-0.372,0.5098,11,False,RGI60-11.00675,0.015,3107,3221,3148,31.7,147,160,10.928,46.9226,-0.8386705679454239,0.5446390350150273
RGI60-11.00676,2000-01-01_2020-01-01,69000.0,-0.742,0.4785,11,False,RGI60-11.00676,0.069,2999,3236,3169,35.6,341,280,10.783,46.9228,0.9455185755993168,-0.3255681544571567
RGI60-11.00677,2000-01-01_2020-01-01,329000.0,-0.6324,0.2442,11,False,RGI60-11.00677,0.329,2905,3311,3168,25.4,265,711,10.7804,46.9179,-0.08715574274765825,-0.9961946980917455
RGI60-11.00678,2000-01-01_2020-01-01,56000.0,-0.5305,0.4061,11,False,RGI60-11.00678,0.056,2073,2194,2140,17.9,58,361,8.94371,46.9327,0.5299192642332049,0.8480480961564261
RGI60-11.00679,2000-01-01_2020-01-01,189000.0,-0.5724,0.2502,11,False,RGI60-11.00679,0.189,3062,3361,3233,25.3,120,571,10.7897,46.9163,-0.4999999999999998,0.8660254037844387
RGI60-11.00680,2000-01-01_2020-01-01,161000.0,-0.8636,0.3141,11,False,RGI60-11.00680,0.161,2846,2966,2900,15.2,22,430,12.0622,46.8887,0.9271838545667874,0.374606593415912
RGI60-11.00681,2000-01-01_2020-01-01,12000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00681,0.012,3183,3245,3219,25.8,73,112,10.8668,46.9152,0.29237170472273677,0.9563047559630354
RGI60-11.00682,2000-01-01_2020-01-01,120000.0,-1.7785,0.5075,11,False,RGI60-11.00682,0.12,2701,2795,2739,11.1,6,434,12.074,46.8874,0.9945218953682733,0.10452846326765347
RGI60-11.00683,2000-01-01_2020-01-01,13000.0,-0.4131,0.5204,11,False,RGI60-11.00683,0.013,3144,3218,3188,25.4,162,177,10.8541,46.9136,-0.9510565162951535,0.3090169943749475
RGI60-11.00684,2000-01-01_2020-01-01,340000.0,-0.9673,0.3189,11,False,RGI60-11.00684,0.34,2934,3333,3065,27.1,112,800,10.7805,46.9097,-0.37460659341591207,0.9271838545667874
RGI60-11.00685,2000-01-01_2020-01-01,286000.0,-0.9543,0.3359,11,False,RGI60-11.00685,0.286,2505,2840,2593,24.3,89,657,9.25816,46.924,0.0174524064372836,0.9998476951563913
RGI60-11.00686,2000-01-01_2020-01-01,16000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00686,0.016,3144,3193,3171,23.0,354,125,10.8882,46.9099,0.9945218953682733,-0.10452846326765342
RGI60-11.00687,2000-01-01_2020-01-01,5361000.0,-0.5699,0.1348,11,False,RGI60-11.00687,5.361,2247,3715,3228,17.3,330,5151,10.8546,46.8956,0.8660254037844384,-0.5000000000000004
RGI60-11.00688,2000-01-01_2020-01-01,28000.0,-0.0815,0.3042,11,False,RGI60-11.00688,0.028,2917,2980,2949,17.1,275,202,9.24853,46.921,0.08715574274765789,-0.9961946980917455
RGI60-11.00689,2000-01-01_2020-01-01,553000.0,-0.7839,0.2583,11,False,RGI60-11.00689,0.553,2576,2999,2759,20.8,103,1017,9.25535,46.9171,-0.22495105434386503,0.9743700647852352
RGI60-11.00690,2000-01-01_2020-01-01,13000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00690,0.013,2979,3069,3017,32.9,75,106,10.9118,46.901,0.25881904510252074,0.9659258262890683
RGI60-11.00691,2000-01-01_2020-01-01,1120000.0,-0.9849,0.2642,11,False,RGI60-11.00691,1.12,2524,3139,2745,19.7,10,1427,10.2192,46.9035,0.984807753012208,0.17364817766693033
RGI60-11.00692,2000-01-01_2020-01-01,56000.0,-0.9715,0.6441,11,False,RGI60-11.00692,0.056,2811,3035,2874,25.4,8,434,10.6803,46.9029,0.9902680687415704,0.13917310096006544
RGI60-11.00693,2000-01-01_2020-01-01,29000.0,-0.7004,0.5856,11,False,RGI60-11.00693,0.029,2902,3030,2977,28.4,321,215,10.6895,46.9034,0.7771459614569706,-0.6293203910498378
RGI60-11.00694,2000-01-01_2020-01-01,157000.0,-0.9224,0.3585,11,False,RGI60-11.00694,0.157,2910,3184,3020,23.7,323,537,10.6705,46.9012,0.7986355100472928,-0.6018150231520483
RGI60-11.00695,2000-01-01_2020-01-01,666000.0,-1.0503,0.3153,11,False,RGI60-11.00695,0.666,2601,3030,2769,20.8,139,1107,9.24825,46.9105,-0.754709580222772,0.6560590289905073
RGI60-11.00696,2000-01-01_2020-01-01,11000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00696,0.011,2838,2917,2864,34.4,342,112,10.6833,46.9033,0.9510565162951535,-0.3090169943749477
RGI60-11.00697,2000-01-01_2020-01-01,1115000.0,-0.7213,0.194,11,False,RGI60-11.00697,1.115,2591,3337,3049,22.7,3,1863,10.8186,46.8924,0.9986295347545738,0.052335956242943835
RGI60-11.00698,2000-01-01_2020-01-01,1738000.0,-0.6869,0.1718,11,False,RGI60-11.00698,1.738,2609,3502,3061,25.0,356,2214,10.7988,46.89,0.9975640502598242,-0.06975647374412564
RGI60-11.00699,2000-01-01_2020-01-01,69000.0,-0.5497,0.3888,11,False,RGI60-11.00699,0.069,2966,3243,3100,37.6,349,357,10.8459,46.8976,0.981627183447664,-0.19080899537654467
RGI60-11.00700,2000-01-01_2020-01-01,14000.0,-0.331,0.4962,11,False,RGI60-11.00700,0.014,2718,2792,2745,18.7,292,224,10.2048,46.9066,0.37460659341591196,-0.9271838545667874
RGI60-11.00701,2000-01-01_2020-01-01,534000.0,-0.3585,0.1862,11,False,RGI60-11.00701,0.534,2744,3386,3166,34.3,340,923,10.8376,46.8933,0.9396926207859084,-0.3420201433256686
RGI60-11.00702,2000-01-01_2020-01-01,207000.0,-0.9106,0.363,11,False,RGI60-11.00702,0.207,2876,3208,3018,30.6,60,620,10.9122,46.8945,0.5000000000000001,0.8660254037844386
RGI60-11.00703,2000-01-01_2020-01-01,30000.0,-0.447,0.4662,11,False,RGI60-11.00703,0.03,3383,3476,3438,29.5,324,177,10.8736,46.8956,0.8090169943749473,-0.5877852522924734
RGI60-11.00704,2000-01-01_2020-01-01,16000.0,-0.7471,0.7704,11,False,RGI60-11.00704,0.016,2713,2762,2744,19.2,92,127,9.25749,46.9115,-0.034899496702500955,0.9993908270190958
RGI60-11.00705,2000-01-01_2020-01-01,160000.0,-0.8882,0.3455,11,False,RGI60-11.00705,0.16,2663,2828,2717,21.9,11,372,10.1548,46.9028,0.981627183447664,0.1908089953765448
RGI60-11.00706,2000-01-01_2020-01-01,71000.0,-0.6861,0.4169,11,False,RGI60-11.00706,0.071,2725,2978,2878,34.7,334,403,10.8263,46.8943,0.8987940462991668,-0.4383711467890778
RGI60-11.00707,2000-01-01_2020-01-01,11000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00707,0.011,2775,2803,2788,15.4,334,79,9.25601,46.9095,0.8987940462991668,-0.4383711467890778
RGI60-11.00708,2000-01-01_2020-01-01,280000.0,-0.7415,0.2567,11,False,RGI60-11.00708,0.28,2765,3094,2931,24.7,17,872,10.7848,46.8921,0.9563047559630354,0.29237170472273677
RGI60-11.00709,2000-01-01_2020-01-01,17000.0,-0.3171,0.4207,11,False,RGI60-11.00709,0.017,3133,3195,3162,20.7,98,160,10.6714,46.8966,-0.13917310096006535,0.9902680687415704
RGI60-11.00710,2000-01-01_2020-01-01,258000.0,-1.2041,0.3616,11,False,RGI60-11.00710,0.258,2688,3012,2873,25.0,348,852,10.2029,46.8995,0.9781476007338056,-0.20791169081775987
RGI60-11.00711,2000-01-01_2020-01-01,58000.0,-0.5266,0.3358,11,False,RGI60-11.00711,0.058,3030,3151,3072,19.6,342,280,10.7765,46.8941,0.9510565162951535,-0.3090169943749477
RGI60-11.00712,2000-01-01_2020-01-01,138000.0,-0.6754,0.3291,11,False,RGI60-11.00712,0.138,2825,3179,2982,29.3,339,627,10.7711,46.8928,0.9335804264972015,-0.35836794954530077
RGI60-11.00713,2000-01-01_2020-01-01,147000.0,-0.7743,0.32,11,False,RGI60-11.00713,0.147,2670,2893,2749,19.5,312,630,10.1495,46.9003,0.6691306063588578,-0.7431448254773946
RGI60-11.00714,2000-01-01_2020-01-01,12000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00714,0.012,2770,2831,2811,37.3,355,79,10.7921,46.894,0.9961946980917455,-0.08715574274765832
RGI60-11.00715,2000-01-01_2020-01-01,54000.0,-0.4016,0.4388,11,False,RGI60-11.00715,0.054,2787,3026,2893,35.8,14,389,10.6599,46.894,0.9702957262759965,0.24192189559966773
RGI60-11.00716,2000-01-01_2020-01-01,115000.0,-0.7817,0.3409,11,False,RGI60-11.00716,0.115,3031,3232,3137,24.0,96,477,10.6703,46.8934,-0.10452846326765355,0.9945218953682733
RGI60-11.00717,2000-01-01_2020-01-01,11000.0,-0.5963718926974675,0.4007490312965724,11,True,RGI60-11.00717,0.011,2820,2898,2859,31.5,351,103,10.7894,46.893,0.9876883405951377,-0.1564344650402311
RGI60-11.00718,2000-01-01_2020-01-01,163000.0,-1.1151,0.3993,11,False,RGI60-11.00718,0.163,3027,3195,3102,24.3,144,436,10.8956,46.8874,-0.8090169943749473,0.5877852522924732
RGI60-11.00719,2000-01-01_2020-01-01,8559000.0,-0.9131,0.154,11,False,RGI60-11.00719,8.559,2810,3559,3142,14.7,165,3087,10.818,46.8762,-0.9659258262890682,0.258819045102521
